date,equity,position,daily_return,peak_equity,drawdown
2025-08-30,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-31,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-01,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-02,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-03,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-04,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-05,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-06,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-07,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-08,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-09,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-10,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-11,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-12,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-13,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-14,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-15,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-16,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-17,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-18,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-19,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-20,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-21,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-22,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-23,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-24,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-25,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-26,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
